Date,IONQ_Open,IONQ_High,IONQ_Low,IONQ_Close,IONQ_Volume,QBTS_Open,QBTS_High,QBTS_Low,QBTS_Close,QBTS_Volume,RGTI_Open,RGTI_High,RGTI_Low,RGTI_Close,RGTI_Volume,QUBT_Open,QUBT_High,QUBT_Low,QUBT_Close,QUBT_Volume,XNDU_Open,XNDU_High,XNDU_Low,XNDU_Close,XNDU_Volume,INFQ_Open,INFQ_High,INFQ_Low,INFQ_Close,INFQ_Volume,HQ_Open,HQ_High,HQ_Low,HQ_Close,HQ_Volume
2026-04-07,28.72,28.88,27.29,28.49,19722700,13.92,13.95,13.38,13.74,16030900,14.1,14.13,13.28,13.84,20967000,6.73,6.78,6.53,6.77,8096200,7.94,8.19,7.26,7.47,393000,10.27,10.33,9.79,10.04,1938800,9.1,9.3,8.33,8.33,47600
2026-04-08,30.66,31.1,28.51,28.99,20132500,15.25,15.35,14.1,14.57,21807900,15.14,15.41,14.14,14.53,24859100,7.38,7.48,6.84,6.93,8431000,8.0,8.05,7.36,7.53,373800,10.89,11.48,10.68,11.32,2691500,8.8,8.82,8.36,8.37,28100
2026-04-09,28.75,29.25,27.82,28.08,16356800,14.4,14.61,13.71,13.87,17762400,14.33,14.69,14.03,14.31,20875900,6.86,6.95,6.75,6.78,5419800,7.44,7.78,7.36,7.65,294000,11.3,12.67,11.3,11.89,5115300,8.92,9.08,8.55,8.79,31000
2026-04-10,28.28,29.37,28.13,28.79,13036500,14.04,14.77,14.03,14.25,13796000,14.42,15.05,14.31,14.68,17339900,6.93,7.28,6.87,7.06,7924200,7.98,9.39,7.82,8.96,784400,12.45,12.71,11.5,12.59,5104500,9.42,9.43,8.7,8.86,29300
2026-04-13,28.25,29.84,27.87,29.76,15259800,14.08,14.78,13.81,14.65,16392500,14.42,15.24,14.17,15.13,16907500,6.87,7.3,6.78,7.27,7159600,9.39,12.97,9.35,11.49,2181000,12.36,12.87,11.94,12.59,3121400,9.12,9.12,8.5,8.88,60400
2026-04-14,31.78,35.88,31.06,35.76,68012600,15.29,17.08,15.23,16.97,43679500,15.72,17.39,15.71,16.87,56976100,7.59,8.33,7.52,8.11,23177400,12.55,16.3,12.29,14.83,3400900,13.26,14.23,12.62,14.12,9589800,9.0,10.71,9.0,10.38,212700
2026-04-15,38.36,43.34,37.46,43.25,96973000,18.52,21.04,17.77,20.81,98957500,17.88,19.51,17.18,19.11,77175300,8.55,9.71,8.41,9.4,43699500,17.12,28.25,16.15,25.18,9175900,15.0,15.1,13.86,15.0,12688100,11.02,12.7,10.86,12.23,683400
2026-04-16,44.51,45.43,40.84,44.68,79286200,22.0,22.47,20.15,21.52,90113700,19.55,20.09,18.11,19.45,62582300,9.77,9.79,9.01,9.44,33663300,29.5,42.44,26.11,32.67,16978400,15.7,15.8,14.0,15.57,13464700,13.0,14.22,11.05,11.75,841300
2026-04-17,44.09,46.69,43.68,46.09,48967100,21.81,22.49,21.39,21.69,46076200,19.91,20.17,19.15,19.81,40352800,9.57,9.9,9.35,9.57,22053500,38.5,39.99,27.3,30.2,8572100,16.2,21.28,15.87,17.42,34659600,12.17,12.33,10.64,11.78,511400
2026-04-20,45.34,48.56,45.12,48.32,47873500,21.02,21.93,20.57,21.66,39241800,19.26,19.89,18.79,19.64,37783100,9.35,9.94,9.28,9.83,19699300,30.01,32.3,26.62,27.63,2510600,16.9,19.16,15.7,16.0,29797700,11.5,13.48,11.15,13.05,337200
